#1 I am white and want to learn to play the italian-game variance: copy cat
youtube: https://www.youtube.com/watch?v=wRLpQ4VSAJ0

Move    white   black   Info
1.      e4      e5      No popup       
2.      Nf3     Nf6     This is an indicator that we need to do the modern attack d4
3.      d4      Nxe4    Time to put their knight in prison 
4.      dxe5    Bc5     Attacking the king via the pawn f2
5.      Bc4     Bxf2     Attacking the king but their king now can't retreat anymore
6.      Kf1     O-O     Time to bring the queen to play
7.      Qd5     Ng3     Attacking they knight
8.      hxg3    Bxg3    Open up the h file
9.      Bg5     Qe8     Attacking their queen
10.     Qd4     g6      Time to sucrifice the queen
11.     Qxg6+    hxg6    h file is open!!!!
12.     Bf6                                      

